Exchange,Base,Target,Last,Volume,Trust Score,USD Price
HitBTC,FIRO,BTC,3e-05,0.04,,92535
Changelly PRO,FIRO,BTC,3e-05,0.04,,92444
HitBTC,YFII,BTC,0.0007,3e-05,,88673
HitBTC,ROOK,BTC,2.6e-05,0.0027,,84130
HitBTC,EMC,BTC,3.3e-08,0.9,,86522
HitBTC,AE,BTC,2e-08,1.3,,85879
ChangeNOW,GALA,BTC,8.684663368849676e-08,3627658.8168752757,,85475
Libre Swap,BTC,LIBRE,350877192.9824561,0.14793494000000004,,85977
ChangeNOW,FET,BTC,3.2194916950272832e-06,52364.614644285655,,85475
Upbit Indonesia ,VIRTUAL,BTC,1.272e-05,13264.93013769,,83973
ChangeNOW,IOTA,BTC,1.3410027206573546e-06,82281.36960881265,,85475
ChangeNOW,RVN,BTC,9.307015325805794e-08,921417.2095800785,,85475
Upbit Indonesia ,SPURS,BTC,2.75e-06,30637.52870759,,86082
ChangeNOW,FLOKI,BTC,5.257208639960459e-10,141676861.02649316,,85444
ChangeNOW,BRETT,BTC,1.5882846758479324e-07,352095.58576019434,,85475
ChangeNOW,THETA,BTC,4.126990472923075e-06,12104.701780149277,,85475
ChangeNOW,LSK,BTC,2.5040862450570763e-06,18847.82122651213,,85476
ChangeNOW,WLD,BTC,7.15224716576386e-06,6213.417850334091,,85444
Upbit Indonesia ,BORA,BTC,5.8e-07,65903.5769607,,83173
Magic Eden (Runes),RSIC•GENESIS•RUNE,BTC,1.343e-09,0.0,,85978
ChangeNOW,BSV,BTC,0.00023625869874575414,65.95372423720025,,85475
UniSat,NOOT,BTC,5.9e-09,2380000.0,,87305
DotSwap,RSIC•GENESIS•RUNE,BTC,1.172799e-09,7984119.0,,85946
AltcoinTrader,BTC,USDT,87000.0,0.01,,86913
Upbit Indonesia ,GRS,BTC,1.86e-06,5021.47649593,,86133
DotSwap,GIZMO•IMAGINARY•KITTEN,BTC,1.35582685e-08,634841.05572468,,85946
ChangeNOW,NOM,BTC,1.3220836782122406e-07,58042.20128719549,,85476
ChangeNOW,RAY,BTC,1.197824511363464e-05,580.0297784758377,,85444
Magic Eden (Runes),BILLION•DOLLAR•CAT,BTC,4.205016e-08,0.0,,85894
radFi,RWLD,BTC,2.607322984671382e-10,21247692.02485104,,86981
radFi,NODESTR,BTC,2.212102285922614e-08,229503.3734766349,,86262
Magic Eden (Runes),WADDLE•WADDLE•PENGU,BTC,1.4049e-09,0.0,,83772
ChangeNOW,LUNA,BTC,8.390723371965174e-07,4401.087654499059,,85475
ChangeNOW,YFI,BTC,0.04810824135328594,0.07893478017426288,,85475
ChangeNOW,BAD,BTC,2.2142852645138556e-14,152881139654.50076,,85444
ChangeNOW,CEL,BTC,3.7242329169529205e-07,9956.153430150012,,85444
Upbit Indonesia ,API3,BTC,6.17e-06,540.95445705,,85032
