Exchange,Base,Target,Last,Volume,Trust Score,USD Price
HitBTC,SAND,BTC,1.7468e-06,145652.0,red,85949
TokoCrypto,TON,BTC,1.704e-05,5.876173708920188,red,86035
HitBTC,AXS,BTC,1.2628e-05,34346.41,red,85949
Niza.io,UNI,BTC,7.18e-05,1142.72304591,red,86098
Niza.io,AAVE,BTC,0.001995,191.12064228,red,86098
Poloniex,DOGE,BTC,1.68e-06,38429.0,red,85924
Niza.io,DOT,BTC,2.618e-05,7118.95469822,red,86098
Niza.io,BTC,DAI,85964.6,0.00953968,red,85956
HitBTC,SNX,BTC,6.48e-06,38991.69,red,85925
INX One,ETH,BTC,0.032603,0.10826771,red,85957
Poloniex,XRP,BTC,2.385e-05,5436.0,red,85924
Niza.io,ETC,BTC,0.0001577,43.32776716,red,86098
HitBTC,KNC,BTC,3.117e-06,32643.3,red,85925
HitBTC,EGLD,BTC,8.64e-05,1724.184,red,85949
Vindax,BCH,BTC,0.006304,1.703,red,85981
HitBTC,ZRX,BTC,1.779e-06,47077.3,red,85949
Kraken,COMP,XBT,0.000333,4.42264168,red,86007
HitBTC,LRC,BTC,6.2e-07,129841.0,red,85949
Foxbit,BTC,USDT,86962.58,0.00692988,red,86915
Bithumb,ETH,BTC,0.03230411,19.167707806003964,red,86631
HitBTC,GAS,BTC,2.434e-05,995.24,red,85949
ProBit Global,TEM,BTC,8.11e-07,289568.9443,red,85977
HitBTC,XMR,BTC,0.0045,9.762,red,85949
HitBTC,THETA,BTC,4.064e-06,1241.0,red,85949
Niza.io,GRT,BTC,5.7e-07,26081.82570757,red,86098
HitBTC,COMP,BTC,0.000329,3.3977,red,85949
Niza.io,ATOM,BTC,2.84e-05,1961.19038614,red,86098
Freiexchange,KMD,BTC,4.8e-07,136423.06337882,red,86042
Niza.io,COMP,BTC,0.000333,1.67025584,red,86098
Binance,ARPA,BTC,1.7e-07,1054808.0,red,86004
Upbit,LWA,BTC,7e-08,16777.77777778,red,86164
Upbit,OBSR,BTC,1e-08,25542.14463839,red,86168
Poloniex,ETC,BTC,0.000158,561.36,red,85924
Poloniex,TRX,BTC,3.216e-06,22144.0,red,85924
FMFW.io,XRD,BTC,2.4e-08,24364.0,red,86056
Bithumb,TALK,BTC,4e-08,471935.25,red,87924
Upbit,GLMR,BTC,3.2e-07,174211.84127731,red,86168
